 14 &  29 & 44.4785 & -13 &  46 & 54.627 &  14 &  12 & 2453918.47454884 &   15.5 &    Clear &      IAG
 14 &  29 & 44.3649 & -13 &  46 & 56.404 &  14 &  12 & 2453918.52129583 &   15.4 &    Clear &      IAG
 14 &  29 & 44.3586 & -13 &  46 & 56.492 &  14 &  12 & 2453918.52384468 &   15.5 &    Clear &      IAG
 14 &  29 & 44.3567 & -13 &  46 & 56.519 &  14 &  12 & 2453918.52468750 &   15.6 &    Clear &      IAG
 14 &  29 & 44.3484 & -13 &  46 & 56.705 &  14 &  12 & 2453918.52891204 &   15.6 &    Clear &      IAG
 14 &  29 & 44.3438 & -13 &  46 & 56.773 &  14 &  12 & 2453918.53059838 &   15.7 &    Clear &      IAG
 14 &  29 & 44.3415 & -13 &  46 & 56.782 &  14 &  12 & 2453918.53145116 &   15.5 &    Clear &      IAG
 14 &  29 & 44.3413 & -13 &  46 & 56.815 &  14 &  12 & 2453918.53230394 &   15.5 &    Clear &      IAG
 14 &  29 & 44.3357 & -13 &  46 & 56.834 &  14 &  12 & 2453918.53314687 &   15.4 &    Clear &      IAG
 14 &  29 & 44.3286 & -13 &  46 & 57.003 &  14 &  12 & 2453918.53653877 &   15.6 &    Clear &      IAG
 14 &  29 & 44.3266 & -13 &  46 & 56.997 &  14 &  12 & 2453918.53738171 &   15.5 &    Clear &      IAG
 14 &  29 & 44.3272 & -13 &  46 & 57.043 &  14 &  12 & 2453918.53822535 &   15.6 &    Clear &      IAG
 14 &  29 & 44.3235 & -13 &  46 & 57.072 &  14 &  12 & 2453918.53907824 &   15.6 &    Clear &      IAG
 14 &  29 & 44.3203 & -13 &  46 & 57.096 &  14 &  12 & 2453918.53992106 &   15.6 &    Clear &      IAG
 14 &  29 & 44.3176 & -13 &  46 & 57.182 &  14 &  12 & 2453918.54161725 &   15.5 &    Clear &      IAG
 14 &  29 & 44.3153 & -13 &  46 & 57.214 &  14 &  12 & 2453918.54247083 &   15.6 &    Clear &      IAG
 14 &  29 & 44.3144 & -13 &  46 & 57.220 &  14 &  12 & 2453918.54332373 &   15.6 &    Clear &      IAG
 14 &  29 & 44.3114 & -13 &  46 & 57.257 &  14 &  12 & 2453918.54416667 &   15.6 &    Clear &      IAG
 14 &  29 & 44.3092 & -13 &  46 & 57.299 &  14 &  12 & 2453918.54500949 &   15.7 &    Clear &      IAG
 14 &  29 & 44.3085 & -13 &  46 & 57.353 &  14 &  12 & 2453918.54585255 &   15.6 &    Clear &      IAG
 14 &  29 & 44.3026 & -13 &  46 & 57.444 &  14 &  12 & 2453918.54840498 &   15.5 &    Clear &      IAG
 14 &  29 & 44.2988 & -13 &  46 & 57.459 &  14 &  12 & 2453918.54959525 &   15.4 &    Clear &      IAG
 14 &  29 & 44.2971 & -13 &  46 & 57.514 &  14 &  12 & 2453918.55078542 &   15.4 &    Clear &      IAG
 14 &  29 & 44.2956 & -13 &  46 & 57.570 &  14 &  12 & 2453918.55197546 &   15.5 &    Clear &      IAG
 14 &  29 & 44.2920 & -13 &  46 & 57.602 &  14 &  12 & 2453918.55317558 &   15.5 &    Clear &      IAG
 14 &  29 & 44.2889 & -13 &  46 & 57.636 &  14 &  12 & 2453918.55437558 &   15.5 &    Clear &      IAG
 14 &  29 & 44.2861 & -13 &  46 & 57.680 &  14 &  12 & 2453918.55556505 &   15.6 &    Clear &      IAG
 14 &  29 & 44.2842 & -13 &  46 & 57.754 &  14 &  12 & 2453918.55675521 &   15.5 &    Clear &      IAG
 14 &  29 & 44.2814 & -13 &  46 & 57.797 &  14 &  12 & 2453918.55795556 &   15.5 &    Clear &      IAG
 14 &  29 & 44.2789 & -13 &  46 & 57.839 &  14 &  12 & 2453918.55914560 &   15.5 &    Clear &      IAG
 14 &  45 & 32.4473 & -15 &  23 & 29.597 &  35 &  34 & 2453978.49562431 &   15.9 &    Clear &      IAG
 14 &  45 & 32.4697 & -15 &  23 & 29.671 &  35 &  34 & 2453978.49646748 &   16.0 &    Clear &      IAG
 14 &  45 & 32.4978 & -15 &  23 & 29.771 &  35 &  34 & 2453978.49731065 &   15.9 &    Clear &      IAG
 14 &  45 & 32.5282 & -15 &  23 & 29.905 &  35 &  34 & 2453978.49815370 &   15.9 &    Clear &      IAG
 14 &  45 & 32.5518 & -15 &  23 & 30.053 &  35 &  34 & 2453978.49900660 &   16.0 &    Clear &      IAG
 14 &  45 & 32.5767 & -15 &  23 & 30.101 &  35 &  34 & 2453978.49985937 &   15.9 &    Clear &      IAG
 14 &  45 & 32.6029 & -15 &  23 & 30.218 &  35 &  34 & 2453978.50066933 &   16.0 &    Clear &      IAG
 14 &  45 & 32.6337 & -15 &  23 & 30.309 &  35 &  34 & 2453978.50151227 &   16.0 &    Clear &      IAG
 14 &  45 & 32.6537 & -15 &  23 & 30.401 &  35 &  34 & 2453978.50235544 &   16.0 &    Clear &      IAG
 14 &  45 & 32.6813 & -15 &  23 & 30.535 &  35 &  34 & 2453978.50320822 &   16.0 &    Clear &      IAG
