 23 12 02.5426 -06 06 14.176    8   18 2454351.66442231 20.3 RE E  809
 23 12 02.5235 -06 06 14.270    8   18 2454351.66656219 20.4 RE E  809
 23 11 51.8474 -06 07 18.713   34    9 2454352.82709348 20.6 RE E  809
 23 11 51.8320 -06 07 18.837   34    9 2454352.82910765 20.6 RE E  809
 23 07 33.3351 -06 32 44.822   12   58 2454382.69246494 21.3 RE E  809
 23 07 33.3188 -06 32 44.849   12   58 2454382.69474309 20.4 RE E  809
 23 07 33.3003 -06 32 45.050   12   58 2454382.69700759 18.9 RE E  809
 23 07 33.2837 -06 32 45.089   12   58 2454382.69930994 20.7 RE E  809
 23 07 33.2649 -06 32 45.292   12   58 2454382.70150832 19.6 RE E  809
 23 07 26.0935 -06 33 26.046   23   22 2454383.65130210 20.6 RE E  809
 23 07 26.0755 -06 33 26.116   23   22 2454383.65358443 20.6 RE E  809
 23 07 25.9146 -06 33 27.043   23   22 2454383.67494812 20.5 RE E  809
 23 07 25.8973 -06 33 27.176   23   22 2454383.67722523 20.3 RE E  809
 23 07 17.7773 -06 34 12.785   94   32 2454384.76428913 21.2 RE E  809
 23 07 17.7179 -06 34 13.212   94   32 2454384.77349947 19.1 RE E  809
 23 07 17.6513 -06 34 13.454   94   32 2454384.78084663 20.9 RE E  809
 23 07 11.0699 -06 34 50.977  107   76 2454385.68083510 21.2 RE E  809
 23 07 11.0571 -06 34 51.077  107   76 2454385.68313099 20.7 RE E  809
 23 07 11.0554 -06 34 51.336  107   76 2454385.68534755 20.5 RE E  809
 23 07 11.0071 -06 34 51.380  107   76 2454385.69050200 20.6 RE E  809
 23 07 10.9754 -06 34 51.653  107   76 2454385.69504049 18.9 RE E  809
 23 07 04.0954 -06 35 30.483   19   24 2454386.64997998 20.5 RE E  809
 23 07 04.0752 -06 35 30.590   19   24 2454386.65284238 20.5 RE E  809
 23 07 04.0523 -06 35 30.715   19   24 2454386.65568881 20.4 RE E  809
 23 07 04.0305 -06 35 30.802   19   24 2454386.65856962 20.5 RE E  809
 23 07 04.0132 -06 35 30.928   19   24 2454386.66136834 20.5 RE E  809
 23 07 03.9884 -06 35 31.090   19   24 2454386.66460866 20.4 RE E  809
 23 07 03.9662 -06 35 31.193   19   24 2454386.66746724 20.5 RE E  809
 23 07 03.9472 -06 35 31.355   19   24 2454386.67031436 20.4 RE E  809
 23 07 03.9268 -06 35 31.415   19   24 2454386.67329775 20.5 RE E  809
 23 07 03.9052 -06 35 31.569   19   24 2454386.67607539 20.5 RE E  809
 23 33 20.8117 -03 37 42.260  123   61 2454621.93967646 20.5 RE E  809
 23 33 20.8618 -03 37 42.110  123   61 2454621.94887932 18.3 RE E  809
 23 33 29.0716 -03 36 53.510   42   47 2454623.92622580 20.6 RE E  809
 23 33 29.1208 -03 36 53.300   42   47 2454623.93808029 20.0 RE E  809
